;empresa_nome;receita_milhao;cidade;uf;empresa_href;descricao;industria
0;Tres Coracoes Alimentos S/A;677.42;Eusebio;Ceara;https://www.dnb.com/business-directory/company-profiles.tres_coracoes_alimentos_s-a.b2294d60d2c3f9c5f520b6db82fa0791.html;Tres Coracoes Alimentos S/A is located in EUSEBIO, CEARA, Brazil and is part of the Coffee & Tea Manufacturing Industry. Tres Coracoes Alimentos S/A has 4,000 employees at this location and generates $623.50 million in sales (USD). There are 43 companies in the Tres Coracoes Alimentos S/A corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
1;Cafe Tres Coracoes S/A;271.06;Santa Luzia;Minas Gerais;https://www.dnb.com/business-directory/company-profiles.cafe_tres_coracoes_s-a.fb90ecf8e77b2932a813ac9e9d4774cf.html;Cafe Tres Coracoes S/A is located in SANTA LUZIA, MINAS GERAIS, Brazil and is part of the Coffee & Tea Manufacturing Industry. Cafe Tres Coracoes S/A has 5,000 employees at this location and generates $271.06 million in sales (USD). There are 43 companies in the Cafe Tres Coracoes S/A corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
2;Cooperativa Dos Cafeicultores Da Zona De Tres Pontas Ltda;207.52;Três Pontas;Minas Gerais;https://www.dnb.com/business-directory/company-profiles.cooperativa_dos_cafeicultores_da_zona_de_tres_pontas_ltda.640efe994e7297c9694b67b6004674ed.html;COOPERATIVA DOS CAFEICULTORES DA ZONA DE TRES PONTAS LTDA is located in Três Pontas, MINAS GERAIS, Brazil and is part of the Coffee & Tea Manufacturing Industry. COOPERATIVA DOS CAFEICULTORES DA ZONA DE TRES PONTAS LTDA has 524 employees at this location and generates $207.52 million in sales (USD). There are 39 companies in the COOPERATIVA DOS CAFEICULTORES DA ZONA DE TRES PONTAS LTDA corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
3;Companhia Cacique De Café Solúvel;198.58;Londrina;Parana;https://www.dnb.com/business-directory/company-profiles.companhia_cacique_de_caf%C3%A9_sol%C3%BAvel.00372e6a2ba5c264f860c0705ae1caf8.html;Companhia Cacique de Café Solúvel is located in Londrina, PARANA, Brazil and is part of the Coffee & Tea Manufacturing Industry. Companhia Cacique de Café Solúvel has 1,259 employees at this location and generates $198.58 million in sales (USD). There are 8 companies in the Companhia Cacique de Café Solúvel corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
4;Cia Iguacu De Cafe Soluvel;138.02;Cornelio Procopio;Parana;https://www.dnb.com/business-directory/company-profiles.cia_iguacu_de_cafe_soluvel.6b1de29dd65e93871d33b6cff739cd80.html;Cia Iguacu de Cafe Soluvel is located in CORNELIO PROCOPIO, PARANA, Brazil and is part of the Coffee & Tea Manufacturing Industry. Cia Iguacu de Cafe Soluvel has 720 employees at this location and generates $138.02 million in sales (USD). There are 7 companies in the Cia Iguacu de Cafe Soluvel corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
5;Cocam Cia De Cafe Soluvel E Derivados;89.63;Catanduva;Sao Paulo;https://www.dnb.com/business-directory/company-profiles.cocam_cia_de_cafe_soluvel_e_derivados.2adca1c04a12df4a73ea1ef2e0f9b7d7.html;Cocam Cia de Cafe Soluvel e Derivados is located in CATANDUVA, SAO PAULO, Brazil and is part of the Coffee & Tea Manufacturing Industry. Cocam Cia de Cafe Soluvel e Derivados has 400 employees at this location and generates $89.63 million in sales (USD). There are 6 companies in the Cocam Cia de Cafe Soluvel e Derivados corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
6;Realcafe Soluvel Do Brasil S/A;75.12;Viana;Espirito Santo;https://www.dnb.com/business-directory/company-profiles.realcafe_soluvel_do_brasil_s-a.8828678e54eb3996f53232d05d3e27dd.html;Realcafe Soluvel do Brasil S/A is located in VIANA, ESPIRITO SANTO, Brazil and is part of the Coffee & Tea Manufacturing Industry. Realcafe Soluvel do Brasil S/A has 380 employees at this location and generates $75.12 million in sales (USD). There are 2 companies in the Realcafe Soluvel do Brasil S/A corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee; Groceries and related products, nec"
7;Jacobs Douwe Egberts Br Comercializacao De Cafes Ltda;70.47;Barueri;Sao Paulo;https://www.dnb.com/business-directory/company-profiles.jacobs_douwe_egberts_br_comercializacao_de_cafes_ltda.4286f950751b4f49a7d1f43bd7286b31.html;Jacobs Douwe Egberts Br Comercializacao de Cafes Ltda is located in BARUERI, SAO PAULO, Brazil and is part of the Coffee & Tea Manufacturing Industry. Jacobs Douwe Egberts Br Comercializacao de Cafes Ltda has 1,300 employees at this location. There are 13 companies in the Jacobs Douwe Egberts Br Comercializacao de Cafes Ltda corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
8;Industrias Alimentícias Maratá Ltda;69.44;Itaporanga D'ajuda;Sergipe;https://www.dnb.com/business-directory/company-profiles.industrias_aliment%C3%ADcias_marat%C3%A1_ltda.d606daa18c9b7beb38b220646f1a6b48.html;Industrias Alimentícias Maratá Ltda is located in Itaporanga D'Ajuda, SERGIPE, Brazil and is part of the Coffee & Tea Manufacturing Industry. Industrias Alimentícias Maratá Ltda has 1,281 employees at this location. There are 12 companies in the Industrias Alimentícias Maratá Ltda corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
9;Batel Industria E Comercio De Alimentos S.A.;54.82;Curitiba;Parana;https://www.dnb.com/business-directory/company-profiles.batel_industria_e_comercio_de_alimentos_sa.9839aaacd71abbb50d784c172b7b0a0e.html;BATEL INDUSTRIA E COMERCIO DE ALIMENTOS S.A. is located in CURITIBA, PARANA, Brazil and is part of the Coffee & Tea Manufacturing Industry. BATEL INDUSTRIA E COMERCIO DE ALIMENTOS S.A. has 300 employees at this location and generates $54.82 million in sales (USD). There are 11 companies in the BATEL INDUSTRIA E COMERCIO DE ALIMENTOS S.A. corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee; Roasted coffee"
10;Cafe Bom Dia Ltda;46.43;Varginha;Minas Gerais;https://www.dnb.com/business-directory/company-profiles.cafe_bom_dia_ltda.28305ca1d7a1c15e759e36ed12497297.html;CAFE BOM DIA LTDA is located in VARGINHA, MINAS GERAIS, Brazil and is part of the Coffee & Tea Manufacturing Industry. CAFE BOM DIA LTDA has 250 employees at this location and generates $46.43 million in sales (USD). There are 3 companies in the CAFE BOM DIA LTDA corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
11;Ipanema Comercial E Exportadora Sa;25.59;Alfenas;Minas Gerais;https://www.dnb.com/business-directory/company-profiles.ipanema_comercial_e_exportadora_sa.c4b2ec805982ddd120ae0b8c52a68cb3.html;IPANEMA COMERCIAL E EXPORTADORA SA is located in ALFENAS, MINAS GERAIS, Brazil and is part of the Coffee & Tea Manufacturing Industry. IPANEMA COMERCIAL E EXPORTADORA SA has 8 employees at this location and generates $25.59 million in sales (USD). There are 3 companies in the IPANEMA COMERCIAL E EXPORTADORA SA corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
12;Moinho Petinho Indústria E Comércio Ltda;25.13;Recife;Pernambuco;https://www.dnb.com/business-directory/company-profiles.moinho_petinho_ind%C3%BAstria_e_com%C3%A9rcio_ltda.e6ec3eb82d1ba20addd7ce7b549b7999.html;Moinho Petinho Indústria e Comércio Ltda is located in Recife, PERNAMBUCO, Brazil and is part of the Coffee & Tea Manufacturing Industry. Moinho Petinho Indústria e Comércio Ltda has 406 employees at this location and generates $25.13 million in sales (USD). There are 2 companies in the Moinho Petinho Indústria e Comércio Ltda corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
13;Cafe Utam S/A;19.43;Ribeirao Preto;Sao Paulo;https://www.dnb.com/business-directory/company-profiles.cafe_utam_s-a.b0c4bc1d8cbe8fb6dff755ad68f82336.html;Cafe Utam S/A is located in Ribeirao Preto, SAO PAULO, Brazil and is part of the Coffee & Tea Manufacturing Industry. Cafe Utam S/A has 120 employees at this location and generates $19.43 million in sales (USD). There are 2 companies in the Cafe Utam S/A corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee; Roasted coffee"
